time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,position_d_x,position_d_y,position_d_z,orientation_d_x,orientation_d_y,orientation_d_z,orientation_d_w,translational_stiffness,rotational_stiffness,nullspace_stiffness,velocity,f_x,f_y,f_z,tau_x,tau_x,tau_z,joint1,joint2,joint3,joint4,joint5,joint6,joint7
0.000000,-0.500006,-0.499962,0.799989,0.999797,0.004866,-0.016970,0.009754,-0.500000,-0.498185,0.800000,0.999796,0.004867,-0.016969,0.009765,200.000000,100.000000,0.000000,0.001339,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.341181,0.397495,0.538961,-0.847496,-0.062737,0.868414,0.866109
0.001000,-0.500006,-0.499961,0.799988,0.999797,0.004866,-0.016970,0.009753,-0.500000,-0.498185,0.800000,0.999796,0.004867,-0.016969,0.009765,200.000000,100.000000,0.000000,0.001335,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.341179,0.397494,0.538960,-0.847500,-0.062734,0.868411,0.866107
0.002000,-0.500006,-0.499960,0.799988,0.999797,0.004866,-0.016970,0.009753,-0.500000,-0.498185,0.800000,0.999796,0.004867,-0.016969,0.009765,200.000000,100.000000,0.000000,0.001399,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.341177,0.397493,0.538959,-0.847504,-0.062732,0.868409,0.866104
0.003000,-0.500006,-0.499959,0.799988,0.999797,0.004866,-0.016970,0.009753,-0.500000,-0.497840,0.800000,0.999796,0.004867,-0.016969,0.009765,200.000000,100.000000,0.000000,0.001395,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.341175,0.397492,0.538959,-0.847509,-0.062729,0.868406,0.866102
0.004000,-0.500006,-0.499957,0.799987,0.999797,0.004866,-0.016970,0.009752,-0.500000,-0.497840,0.800000,0.999796,0.004867,-0.016969,0.009765,200.000000,100.000000,0.000000,0.001462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.341172,0.397491,0.538958,-0.847513,-0.062726,0.868404,0.866100
0.005000,-0.500007,-0.499956,0.799987,0.999797,0.004866,-0.016970,0.009752,-0.500000,-0.497840,0.800000,0.999796,0.004867,-0.016969,0.009765,200.000000,100.000000,0.000000,0.001467,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.341170,0.397490,0.538957,-0.847517,-0.062723,0.868401,0.866097
0.006000,-0.500007,-0.499954,0.799986,0.999797,0.004866,-0.016970,0.009751,-0.500000,-0.497840,0.800000,0.999796,0.004867,-0.016969,0.009765,200.000000,100.000000,0.000000,0.001539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.341167,0.397489,0.538956,-0.847522,-0.062720,0.868398,0.866095
0.007000,-0.500007,-0.499953,0.799986,0.999797,0.004866,-0.016971,0.009751,-0.500000,-0.497840,0.800000,0.999796,0.004867,-0.016969,0.009765,200.000000,100.000000,0.000000,0.001542,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.341165,0.397488,0.538955,-0.847526,-0.062716,0.868396,0.866092
0.008000,-0.500007,-0.499951,0.799985,0.999797,0.004866,-0.016971,0.009751,-0.500000,-0.497840,0.800000,0.999796,0.004867,-0.016969,0.009765,200.000000,100.000000,0.000000,0.001611,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.341162,0.397487,0.538954,-0.847531,-0.062713,0.868393,0.866090
0.009000,-0.500008,-0.499950,0.799985,0.999797,0.004866,-0.016971,0.009750,-0.500000,-0.497840,0.800000,0.999796,0.004867,-0.016969,0.009765,200.000000,100.000000,0.000000,0.001613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.341160,0.397485,0.538953,-0.847536,-0.062710,0.868390,0.866087
0.010000,-0.500008,-0.499948,0.799985,0.999797,0.004866,-0.016971,0.009750,-0.500000,-0.497840,0.800000,0.999796,0.004867,-0.016969,0.009765,200.000000,100.000000,0.000000,0.001682,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.341157,0.397484,0.538952,-0.847541,-0.062706,0.868387,0.866084
