time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,position_d_x,position_d_y,position_d_z,orientation_d_x,orientation_d_y,orientation_d_z,orientation_d_w,translational_stiffness,rotational_stiffness,nullspace_stiffness,velocity,f_x,f_y,f_z,tau_x,tau_x,tau_z,joint1,joint2,joint3,joint4,joint5,joint6,joint7
0.000000,-0.499758,-0.499771,0.800232,0.999924,0.004774,-0.011344,0.001042,-0.500000,-0.500000,0.800000,0.999924,0.004776,-0.011320,0.001026,200.000000,100.000000,0.000000,0.001301,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.598439,0.372113,0.078609,-0.834427,0.233944,0.904938,0.743503
0.001000,-0.499758,-0.499771,0.800231,0.999924,0.004774,-0.011344,0.001042,-0.500000,-0.500000,0.800000,0.999924,0.004776,-0.011320,0.001026,200.000000,100.000000,0.000000,0.001247,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.598440,0.372117,0.078609,-0.834421,0.233944,0.904939,0.743503
0.002000,-0.499759,-0.499772,0.800229,0.999924,0.004774,-0.011343,0.001042,-0.500000,-0.500000,0.800000,0.999924,0.004776,-0.011320,0.001026,200.000000,100.000000,0.000000,0.001300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.598440,0.372121,0.078608,-0.834415,0.233943,0.904940,0.743504
0.003000,-0.499759,-0.499772,0.800228,0.999924,0.004774,-0.011343,0.001042,-0.500000,-0.500000,0.800000,0.999924,0.004776,-0.011320,0.001026,200.000000,100.000000,0.000000,0.001246,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.598441,0.372125,0.078608,-0.834410,0.233943,0.904942,0.743504
0.004000,-0.499760,-0.499772,0.800227,0.999924,0.004774,-0.011343,0.001042,-0.500000,-0.500000,0.800000,0.999924,0.004776,-0.011320,0.001026,200.000000,100.000000,0.000000,0.001300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.598442,0.372129,0.078608,-0.834404,0.233943,0.904943,0.743505
0.005000,-0.499761,-0.499773,0.800226,0.999924,0.004774,-0.011343,0.001042,-0.500000,-0.500000,0.800000,0.999924,0.004776,-0.011320,0.001026,200.000000,100.000000,0.000000,0.001245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.598442,0.372133,0.078607,-0.834399,0.233942,0.904945,0.743505
0.006000,-0.499761,-0.499773,0.800225,0.999924,0.004774,-0.011343,0.001042,-0.500000,-0.500000,0.800000,0.999924,0.004776,-0.011320,0.001026,200.000000,100.000000,0.000000,0.001298,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.598443,0.372137,0.078607,-0.834393,0.233942,0.904946,0.743505
0.007000,-0.499762,-0.499774,0.800224,0.999924,0.004774,-0.011343,0.001042,-0.500000,-0.500000,0.800000,0.999924,0.004776,-0.011320,0.001026,200.000000,100.000000,0.000000,0.001244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.598443,0.372141,0.078607,-0.834388,0.233942,0.904948,0.743506
0.008000,-0.499762,-0.499774,0.800223,0.999924,0.004774,-0.011343,0.001042,-0.500000,-0.500000,0.800000,0.999924,0.004776,-0.011320,0.001026,200.000000,100.000000,0.000000,0.001298,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.598444,0.372145,0.078606,-0.834382,0.233941,0.904949,0.743506
0.009000,-0.499763,-0.499774,0.800222,0.999924,0.004774,-0.011343,0.001042,-0.500000,-0.500000,0.800000,0.999924,0.004776,-0.011320,0.001026,200.000000,100.000000,0.000000,0.001244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.598444,0.372149,0.078606,-0.834377,0.233941,0.904951,0.743507
0.010000,-0.499764,-0.499775,0.800221,0.999924,0.004774,-0.011343,0.001042,-0.500000,-0.500000,0.800000,0.999924,0.004776,-0.011320,0.001026,200.000000,100.000000,0.000000,0.001296,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.598445,0.372153,0.078606,-0.834371,0.233940,0.904952,0.743507
