time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,position_d_x,position_d_y,position_d_z,orientation_d_x,orientation_d_y,orientation_d_z,orientation_d_w,translational_stiffness,rotational_stiffness,nullspace_stiffness,velocity,f_x,f_y,f_z,tau_x,tau_x,tau_z,joint1,joint2,joint3,joint4,joint5,joint6,joint7
0.954000,-0.502767,-0.478593,0.796859,0.999926,0.004530,-0.011243,-0.000569,-0.500000,-0.442846,0.800000,0.999924,0.004776,-0.011320,0.001026,200.000000,100.000000,0.000000,0.087590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.568506,0.350507,0.078607,-0.906425,0.273936,0.865998,0.695817
0.955000,-0.502776,-0.478506,0.796850,0.999926,0.004529,-0.011243,-0.000574,-0.500000,-0.442695,0.800000,0.999924,0.004776,-0.011320,0.001026,200.000000,100.000000,0.000000,0.087802,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.568373,0.350410,0.078625,-0.906727,0.274098,0.865838,0.695617
0.956000,-0.502784,-0.478419,0.796842,0.999926,0.004528,-0.011243,-0.000578,-0.500000,-0.442544,0.800000,0.999924,0.004776,-0.011320,0.001026,200.000000,100.000000,0.000000,0.088014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.568240,0.350312,0.078644,-0.907031,0.274261,0.865678,0.695416
0.957000,-0.502793,-0.478332,0.796833,0.999926,0.004527,-0.011242,-0.000582,-0.500000,-0.442544,0.800000,0.999924,0.004776,-0.011320,0.001026,200.000000,100.000000,0.000000,0.088225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.568106,0.350215,0.078662,-0.907335,0.274423,0.865517,0.695215
0.958000,-0.502802,-0.478244,0.796825,0.999926,0.004527,-0.011242,-0.000587,-0.500000,-0.442392,0.800000,0.999924,0.004776,-0.011320,0.001026,200.000000,100.000000,0.000000,0.088433,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.567973,0.350117,0.078681,-0.907640,0.274587,0.865356,0.695013
0.959000,-0.502811,-0.478156,0.796816,0.999926,0.004526,-0.011242,-0.000591,-0.500000,-0.442088,0.800000,0.999924,0.004776,-0.011320,0.001026,200.000000,100.000000,0.000000,0.088641,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.567839,0.350020,0.078700,-0.907946,0.274750,0.865194,0.694811
0.960000,-0.502820,-0.478068,0.796807,0.999926,0.004525,-0.011241,-0.000595,-0.500000,-0.441936,0.800000,0.999924,0.004776,-0.011320,0.001026,200.000000,100.000000,0.000000,0.088854,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.567704,0.349921,0.078719,-0.908252,0.274914,0.865033,0.694608
0.961000,-0.502828,-0.477980,0.796799,0.999926,0.004524,-0.011241,-0.000599,-0.500000,-0.441783,0.800000,0.999924,0.004776,-0.011320,0.001026,200.000000,100.000000,0.000000,0.089065,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.567569,0.349823,0.078738,-0.908559,0.275079,0.864870,0.694404
0.962000,-0.502837,-0.477892,0.796790,0.999926,0.004523,-0.011241,-0.000604,-0.500000,-0.441630,0.800000,0.999924,0.004776,-0.011320,0.001026,200.000000,100.000000,0.000000,0.089278,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.567434,0.349724,0.078757,-0.908867,0.275243,0.864708,0.694200
0.963000,-0.502846,-0.477803,0.796782,0.999926,0.004522,-0.011240,-0.000608,-0.500000,-0.441477,0.800000,0.999924,0.004776,-0.011320,0.001026,200.000000,100.000000,0.000000,0.089490,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.567298,0.349625,0.078776,-0.909175,0.275409,0.864545,0.693995
0.964000,-0.502855,-0.477714,0.796773,0.999926,0.004521,-0.011240,-0.000612,-0.500000,-0.441324,0.800000,0.999924,0.004776,-0.011320,0.001026,200.000000,100.000000,0.000000,0.089703,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.567162,0.349526,0.078796,-0.909485,0.275574,0.864382,0.693790
0.965000,-0.502864,-0.477625,0.796764,0.999926,0.004520,-0.011240,-0.000617,-0.500000,-0.441171,0.800000,0.999924,0.004776,-0.011320,0.001026,200.000000,100.000000,0.000000,0.089915,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.567026,0.349427,0.078815,-0.909795,0.275740,0.864218,0.693585
0.966000,-0.502873,-0.477536,0.796756,0.999926,0.004519,-0.011239,-0.000621,-0.500000,-0.441018,0.800000,0.999924,0.004776,-0.011320,0.001026,200.000000,100.000000,0.000000,0.090128,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.566889,0.349327,0.078835,-0.910105,0.275907,0.864054,0.693378
0.967000,-0.502881,-0.477447,0.796747,0.999926,0.004518,-0.011239,-0.000625,-0.500000,-0.440864,0.800000,0.999924,0.004776,-0.011320,0.001026,200.000000,100.000000,0.000000,0.090340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.566752,0.349228,0.078854,-0.910417,0.276074,0.863890,0.693172
0.968000,-0.502890,-0.477357,0.796739,0.999926,0.004517,-0.011239,-0.000630,-0.500000,-0.440864,0.800000,0.999924,0.004776,-0.011320,0.001026,200.000000,100.000000,0.000000,0.090553,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.566615,0.349128,0.078874,-0.910729,0.276241,0.863725,0.692964
0.969000,-0.502899,-0.477267,0.796730,0.999926,0.004517,-0.011238,-0.000634,-0.500000,-0.440556,0.800000,0.999924,0.004776,-0.011320,0.001026,200.000000,100.000000,0.000000,0.090762,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.566477,0.349027,0.078894,-0.911042,0.276409,0.863560,0.692757
