time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
0.730000,-0.500410,-0.500129,0.689333,0.999924,0.004776,-0.011320,0.001026
0.740000,-0.500334,-0.500105,0.688351,0.999924,0.004776,-0.011320,0.001026
0.750000,-0.500267,-0.500084,0.687470,0.999924,0.004776,-0.011320,0.001026
0.760000,-0.500206,-0.500065,0.686688,0.999924,0.004776,-0.011320,0.001026
0.770000,-0.500154,-0.500049,0.686006,0.999924,0.004776,-0.011320,0.001026
0.780000,-0.500109,-0.500035,0.685423,0.999924,0.004776,-0.011320,0.001026
0.790000,-0.500072,-0.500023,0.684940,0.999924,0.004776,-0.011320,0.001026
0.800000,-0.500043,-0.500014,0.684557,0.999924,0.004776,-0.011320,0.001026
0.810000,-0.500021,-0.500007,0.684274,0.999924,0.004776,-0.011320,0.001026
0.820000,-0.500007,-0.500002,0.684090,0.999924,0.004776,-0.011320,0.001026
0.820000,-0.500000,-0.500000,0.684000,0.999924,0.004776,-0.011320,0.001026
